"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"66",65,0,0.224,0.42,0.604,0.532,0.312,0.472,0.948,0
"67",66,0,0.456,0.452,0.396,0.436,0.484,0.54,0.892,0
"68",67,0,0.464,0.452,0.392,0.592,0.48,0.548,0.904,0
"69",68,1,0.548,0.828,0.448,0.9,0.644,0.504,0,0
"70",69,1,0.6,0.648,0.636,0.72,0.86,0.472,0.992,0
"71",70,1,0.968,0.764,0.748,0.892,0.92,0.8,1,0
"72",71,1,0.676,0.768,0.468,0.556,0.776,0.928,1,0
"73",72,0,0.54,0.544,0.536,0.492,0.488,0.532,0.992,0
"74",73,0,0.52,0.536,0.404,0.388,0.312,0.436,0.08,0
"75",74,0,0.48,0.504,0.504,0.472,0.488,0.464,0,0
"76",75,0,0.4,0.448,0.452,0.348,0.548,0.468,0,0
"77",76,0,0.28,0.496,0.532,0.448,0.496,0.412,0.148,0
"78",77,0,0.48,0.504,0.48,0.52,0.528,0.488,0,0
"79",78,0,0.392,0.296,0.248,0.364,0.056,0.516,1,0
"80",79,0,0.348,0.4,0.42,0.336,0.164,0.316,0,0
"81",80,0,0.552,0.468,0.54,0.464,0.456,0.508,0,0
"82",81,0,0.484,0.54,0.388,0.568,0.476,0.472,1,0
"83",82,0,0.472,0.52,0.608,0.496,0.536,0.468,0.996,0
"84",83,0,0.452,0.636,0.448,0.544,0.496,0.484,0.82,0
"85",84,1,0.544,0.584,0.568,0.544,0.5,0.516,0.04,0
"86",85,0,0.464,0.416,0.388,0.488,0.224,0.488,0,0
"87",86,0,0.424,0.504,0.452,0.488,0.484,0.412,0.356,0
"88",87,0,0.636,0.468,0.804,0.228,0.388,0.608,1,0
"89",88,0,0.384,0.42,0.46,0.496,0.316,0.348,0,0
"90",89,1,0.592,0.676,0.592,0.496,0.484,0.608,1,0
"91",90,1,0.5,0.704,0.724,0.612,0.88,0.612,1,0
"92",91,0.004,0.6,0.54,0.564,0.484,0.468,0.5,0.844,0
"93",92,0,0.504,0.528,0.736,0.516,0.512,0.468,1,0
"94",93,0,0.536,0.528,0.488,0.564,0.464,0.556,0.856,0
"95",94,1,0.644,0.648,0.484,0.452,0.428,0.552,0,0
"96",95,0,0.408,0.808,0.732,0.396,0.444,0.56,1,0
"97",96,0,0.496,0.536,0.54,0.452,0.444,0.52,1,0
"98",97,0,0.536,0.54,0.516,0.556,0.432,0.54,0.692,0
"99",98,1,0.476,0.664,0.36,0.608,0.5,0.656,0,0
"100",99,1,0.596,0.44,0.516,0.48,0.584,0.684,1,0
